Index,C1,C2,Color,Action,Amount,SpaceType,nextIndex,Branch
55,726,673,,Collect-Spin-the-Wheel,1000,Shortcut,56,
56,729,723,,Child,,Shortcut,57,
57,730,776,,Collect,2800000,Shortcut,58,
58,710,833,,Pay-Stock,22000,Shortcut,59,
59,672,892,Red,PayDay,,Shortcut,60,
60,647,920,,Collect-Spin-8,80000,Shortcut,61,
61,590,921,,Collect,50000,Merge,70,
62,670,648,White,Play-Market,,Main,63,
63,628,654,,Collect,480000,Main,64,
64,600,694,,Pay-Stock,36000,Main,65,
65,602,740,Red,PayDay,,Main,66,
66,604,781,,Collect,100000,Main,67,
67,605,824,,Child,,Main,68,
68,604,875,,Pay-Car,16000,Main,69,
61,590,921,,Collect,50000,Merge,70,
70,527,895,,Pay,150000,Main,71,
71,501,844,,Revenge,,Main,72,
72,501,795,,Child,,Main,73,
73,498,735,,Lucky-Day,,Main,74,
74,454,703,Red,PayDay,,Main,75,
75,399,704,,Collect-Stock,240000,Main,76,
76,356,706,,Pay,120000,Main,77,
77,310,702,,Pay-Not-Insured-Stock,16000,Main,78,
78,253,709,,Collect-Stock,120000,Main,79,
79,246,813,Red,PayDay-Interest,,Main,80,
80,161,867,,Collect-Life,70000,Main,81,
81,102,850,,Collect,120000,Main,82,
82,77,807,,Child,,Main,83,
83,54,746,,Taxes,,Main,84,
84,55,700,,Lucky-Day,,Main,85,
85,54,662,,Collect,240000,Main,86,
86,55,615,Red,PayDay,,Main,87,
87,66,573,White,Play-Market,,Main,88,
88,101,554,,Revenge,,Main,89,
89,142,550,,Loose-Auto,,Main,90,
90,192,553,,Collect,100000,Main,91,
91,241,552,,Twins,,Split,92,100
92,292,553,,Pay,100000,Main,93,
93,329,553,Red,PayDay,,Main,94,
94,375,553,,Collect-Life,60000,Main,95,
95,416,554,,Pay-Car,50000,Main,96,
96,454,556,,Pay-Fire,60000,Main,97,
97,496,560,,Collect-Stock,18000,Main,98,
98,497,597,,Collect,240000,Main,99,
99,441,608,Red,PayDay-Interest,,Merge,105,
100,260,593,,Detour,,Shortcut,101,93
101,300,603,Red,PayDay,,Shortcut,102,
102,345,604,,Collect-Stock,12000,Shortcut,103,
103,383,604,,Collect,24000,Shortcut,104,
99,441,608,Red,PayDay-Interest,,Merge,105,
105,419,650,,Lucky-Day,,Main,106,
106,373,654,,Collect-Spin-the-Wheel,1000,Main,107,
107,326,654,,Pay ,20000,Main,108,
108,271,653,,Collect-Stock,360000,Main,109,
109,224,656,,Pay,10000,Main,110,
110,176,657,,Collect-Spin-3,30000,Main,111,
111,140,680,,Pay ,20000,Main,112,
112,134,721,Red,PayDay,,Main,113,
113,179,751,,Pay,2000,Main,114,
114,231,753,,Pay,140000,Main,115,
115,274,753,,Collect,96000,Main,116,
116,322,754,,Pay,20000,Main,117,
117,370,755,,Pay ,100000,Main,118,
118,422,756,,Pay,3000,Main,119,
119,442,798,Red,PayDay,,Main,120,
120,395,824,White,Play-Market,,Main,121,
121,351,829,,Pay,80000,Main,122,
122,316,866,Red,Taxes,,Main,123,
123,329,905,,Collect,12000,Main,124,
124,380,923,,Revenge,,Main,125,
125,435,922,,Pay,10000,Main,126,
126,489,918,Red,PayDay-Interest,,Main,127,
127,550,864,,Collect-Life,120000,Main,128,
128,553,808,,Collect-Stock,140000,Main,129,
129,553,755,Red,Pay ,120000,Main,130,
130,555,695,,Pay,2000,Main,131,
131,554,624,,Lucky-Day,,Main,132,
132,614,604,,Loose-Fire,,Main,133,
133,665,602,Red,PayDay,,Main,134,
134,668,560,,Collect,240000,Main,135,
135,618,554,,Collect,10000,Main,136,
136,559,551,Jump,Go-15-Space,,Main,137,
137,554,460,,Pay ,40000,Main,138,
138,572,408,,Collect,120000,Main,139,
139,614,397,,Wait-turn,,Main,140,
140,658,400,,Collect,480000,Main,141,
141,709,413,Red,PayDay,,Main,142,
142,743,400,,Collect,120000,Main,143,
143,758,360,Red,Pay ,50000,Main,144,
144,757,321,,Collect,200000,Main,145,
145,758,284,,Pay-Home,100000,Main,146,
146,756,247,,Pay ,10000,Main,147,
147,756,208,Red,PayDay-Interest,,Main,148,
148,756,169,,Collect,240000,Main,149,
149,755,127,,Collect,3000,Main,150,
150,755,87,,Pay ,70000,Main,151,
151,718,67,,Collect-Life,240000,Main,152,
152,676,69,,Collect-Stock,480000,Main,153,
153,630,71,,Lucky-Day,,Main,154,
154,601,101,,Revenge,,Main,155,
155,619,135,,Pay,20000,Main,156,
156,658,140,Red,PayDay,,Main,157,
157,698,146,,Pay ,40000,Main,158,
158,698,184,,Pay ,70000,Main,159,
159,654,192,Stop,Reckoning ,,Main,160,
160,608,192,,Collect-Stock,600000,Main,161,
161,570,194,Red,Collect-Life,240000,Main,162,
162,556,235,,Pay ,20000,Main,163,
163,561,279,,Retire,,Main,-1,
164,374,317,,Spin Roller,,,0,
